voivodeship,date,cases
dolnośląskie,2020-10-21,462
podkarpackie,2020-10-21,881
małopolskie,2020-10-21,1
pomorskie,2020-10-21,771
warmińsko-mazurskie,2020-10-21,348
łódzkie,2020-10-21,675
mazowieckie,2020-10-21,1
lubelskie,2020-10-21,658
lubuskie,2020-10-21,283
śląskie,2020-10-20,895
opolskie,2020-10-20,1486
wielkopolskie,2020-10-20,1186
zachodniopomorskie,2020-10-20,213
świętokrzyskie,2020-10-20,312
kujawsko-pomorskie,2020-10-20,446
podlaskie,2020-10-20,209
dolnośląskie,2020-10-20,567
podkarpackie,2020-10-20,667
małopolskie,2020-10-20,1486
pomorskie,2020-10-20,484
warmińsko-mazurskie,2020-10-20,165
łódzkie,2020-10-20,625
mazowieckie,2020-10-20,1282
lubelskie,2020-10-20,219
lubuskie,2020-10-20,228
śląskie,2020-10-19,685
opolskie,2020-10-19,1201
wielkopolskie,2020-10-19,423
zachodniopomorskie,2020-10-19,217
świętokrzyskie,2020-10-19,170
kujawsko-pomorskie,2020-10-19,473
podlaskie,2020-10-19,283
dolnośląskie,2020-10-19,406
podkarpackie,2020-10-19,458
małopolskie,2020-10-19,1201
pomorskie,2020-10-19,481
warmińsko-mazurskie,2020-10-19,190
łódzkie,2020-10-19,679
mazowieckie,2020-10-19,849
lubelskie,2020-10-19,526
lubuskie,2020-10-19,93
śląskie,2020-10-18,974
opolskie,2020-10-18,934
wielkopolskie,2020-10-18,724
zachodniopomorskie,2020-10-18,317
świętokrzyskie,2020-10-18,211
kujawsko-pomorskie,2020-10-18,523
podlaskie,2020-10-18,139
dolnośląskie,2020-10-18,369
podkarpackie,2020-10-18,721
małopolskie,2020-10-18,934
pomorskie,2020-10-18,523
warmińsko-mazurskie,2020-10-18,210
łódzkie,2020-10-18,584
mazowieckie,2020-10-18,1342
lubelskie,2020-10-18,580
lubuskie,2020-10-18,169
śląskie,2020-10-17,765
opolskie,2020-10-17,1254
wielkopolskie,2020-10-17,1058
zachodniopomorskie,2020-10-17,340
świętokrzyskie,2020-10-17,396
kujawsko-pomorskie,2020-10-17,470
podlaskie,2020-10-17,149
dolnośląskie,2020-10-17,524
podkarpackie,2020-10-17,704
małopolskie,2020-10-17,1254
pomorskie,2020-10-17,563
warmińsko-mazurskie,2020-10-17,224
łódzkie,2020-10-17,821
mazowieckie,2020-10-17,1485
lubelskie,2020-10-17,429
lubuskie,2020-10-17,157
śląskie,2020-10-16,769
opolskie,2020-10-16,1105
wielkopolskie,2020-10-16,592
zachodniopomorskie,2020-10-16,311
świętokrzyskie,2020-10-16,314
kujawsko-pomorskie,2020-10-16,470
podlaskie,2020-10-16,201
dolnośląskie,2020-10-16,441
podkarpackie,2020-10-16,563
małopolskie,2020-10-16,1105
pomorskie,2020-10-16,547
warmińsko-mazurskie,2020-10-16,181
łódzkie,2020-10-16,648
mazowieckie,2020-10-16,911
lubelskie,2020-10-16,284
lubuskie,2020-10-16,147
śląskie,2020-10-15,822
opolskie,2020-10-15,1303
wielkopolskie,2020-10-15,835
